z,mu,sig
0.03081,35.6474,0.19424
0.03279,35.7279,0.17805
0.03207,35.4592,0.276064
0.03158,35.4896,0.148675
0.03174,35.6746,0.20211
0.03201,35.576,0.196814
0.03212,35.8562,0.258808
0.03183,35.8808,0.19004
0.03189,35.9082,0.198168
0.03246,35.6638,0.156049
0.0337,35.6329,0.204026
0.03337,35.8381,0.178659
0.03212,35.7248,0.15355
0.03212,35.7992,0.326022
0.0325,35.7324,0.22019
0.03314,35.6164,0.168015
0.03245,35.6643,0.150947
0.03336,35.8159,0.198961
0.03292,35.8647,0.150987
0.03309,35.7797,0.159699
0.03344,35.829,0.273673
0.03316,36.0229,0.243018
0.03323,35.8276,0.259126
0.0331,35.9089,0.177213
0.03432,35.7587,0.312966
0.03352,35.9188,0.207416
0.03565,35.7837,0.217075
0.03533,35.825,0.340606
0.0337,35.9757,0.358083
0.03481,35.7348,0.155656
0.0341,35.8566,0.205773
0.03351,35.9118,0.165632
0.03492,35.8816,0.169326
0.03574,35.8937,0.211664
0.03369,35.8012,0.48333
0.03497,35.8349,0.334212
0.03445,35.861,0.1686
0.03518,35.9905,0.374822
0.03542,36.234,0.188455
0.03495,35.9591,0.225173
0.03495,36.1545,0.230318
0.03564,35.9325,0.204232
0.03501,35.5515,0.204326
0.03592,35.9909,0.187185
0.03544,35.8586,0.223482
0.03602,36.1845,0.187245
0.03577,36.0035,0.185251
0.03643,35.9282,0.1566
0.03725,36.0748,0.289284
0.03631,35.8056,0.308166
0.03616,36.0695,0.175025
0.03654,36.08,0.336812
0.03591,35.9637,0.166565
0.03646,36.0475,0.166339
0.03627,36.0067,0.135213
0.03589,35.8698,0.18969
0.03704,35.9789,0.163683
0.03639,35.949,0.262609
0.03652,36.3333,0.171248
0.03761,36.0063,0.206656
0.03672,36.0624,0.163008
0.03641,36.0889,0.198876
0.03732,35.8938,0.151724
0.0379,36.1141,0.236153
0.03762,36.5177,0.245806
0.0394,36.2254,0.311188
0.03748,36.2564,0.149974
0.03835,36.0125,0.17035
0.03832,36.026,0.219507
0.03871,36.0125,0.204712
0.038,36.1962,0.220822
0.03928,36.2125,0.18352
0.03996,36.284,0.147901
0.03891,36.5486,0.234635
0.04015,36.0167,0.143473
0.03975,35.9918,0.210464
0.04056,36.1263,0.168835
0.04045,36.4104,0.307187
0.04027,36.0403,0.147245
0.04059,36.3153,0.150794
0.04023,36.5601,0.280122
0.0428,36.2101,0.208042
0.04239,36.5106,0.426487
0.04223,36.2931,0.151018
0.04251,35.9138,0.29449
0.0413,36.2521,0.175538
0.04265,36.2018,0.162522
0.04252,36.2457,0.207056
0.04328,36.4165,0.166064
0.04275,36.2137,0.152187
0.04391,36.2594,0.177777
0.04307,36.3298,0.181208
0.04404,36.5469,0.231201
0.04397,36.2916,0.249078
0.0451,36.551,0.270525
0.04366,36.5114,0.286272
0.04429,36.4565,0.162334
0.04433,36.6866,0.304921
