z,mu,sig
0.24448,40.34132,0.22054135122466265
0.24576,40.75279,0.14280964113112252
0.24605,40.59366,0.10123873813911352
0.24618,40.23354,0.19727924092514143
0.24701,40.26524,0.10535558884083937
0.24936,40.35571,0.24193392176377415
0.25126,40.41245,0.14344149364810727
0.25173,40.51833,0.14599192614661952
0.25286,40.70136,0.2110656933279305
0.25308,40.46937,0.1741026754533083
0.25378,40.35512,0.11854414409830627
0.25517,40.30212,0.1186172837321779
0.25604,40.66634,0.1495754087408756
0.25691,40.48353,0.1746704213654962
0.25833,40.41248,0.20538828496289657
0.25854,40.59566,0.098120301670959
0.25904,40.50537,0.1526239434033861
0.25907,40.23541,0.14705192314281373
0.26046,40.98259,0.31918480289637846
0.26048,40.74659,0.1487616687860149
0.26103,40.86697,0.7293499848495235
0.2615,40.48657,0.15423970338405088
0.26162,40.58782,0.12987263145097197
0.26271,40.54026,0.09404719240891778
0.26317,41.83784,320.33052295486357
0.26361,40.69751,0.1381544425633863
0.26523,40.9081,0.39735377801148436
0.26584,40.74542,0.30066364329595957
0.26628,40.58229,0.11381898084238849
0.26765,40.66311,0.15607504893479932
0.26767,42.34894,219.254565487159
0.26775,40.88779,0.16736851555773563
0.26793,40.59362,0.10434376071428517
0.26891,40.7573,0.18296824205309511
0.26996,40.44445,0.14891903303473336
0.27001,40.6088,0.12337623920350302
0.27051,40.90091,0.11296917455660195
0.27119,40.77037,0.12210893538148632
0.27142,40.6058,0.12621167774813866
0.27237,40.69293,0.15242421067533857
0.27255,40.77936,0.1162856951649686
0.27265,40.67029,0.10724206264334905
0.27278,40.65338,0.10788185018806454
0.27304,40.70865,0.11641960487821627
0.27316,40.71483,0.141053094967817
0.27382,40.46812,0.10111727300515971
0.27437,40.7618,0.2538821348578903
0.27539,40.69707,0.11198938744363235
0.27578,41.07373,0.33287342098761813
0.27589,40.66582,0.6097932771849818
0.27618,40.76795,0.2691640854571798
0.27659,40.82561,0.09588400544407809
0.27694,40.92631,0.12721133951028107
0.27784,41.00841,0.25305430267039525
0.27905,40.89237,0.2269691309407515
0.27963,40.93028,0.23175861494235764
0.2801,40.7781,0.10784366648069788
0.28063,40.69969,0.13716619153421156
0.2811,40.48691,0.33537691945034026
0.28169,41.08529,0.41607626512455625
0.28303,40.69138,0.11134025552332813
0.28417,41.9664,6.4689649262382
0.28513,40.88255,0.11769254181977719
0.28578,40.65082,0.23312119251582428
0.28699,41.02013,0.14204967757795156
0.28805,40.79063,0.12692667804681568
0.28834,40.84993,0.1061684303359525
0.28848,41.84104,136.23061833684417
0.28895,40.72403,0.15116332227097948
0.29001,40.8731,0.16781354563920042
0.29069,40.89234,0.10813497352845657
0.29082,40.89713,0.1609760541198597
0.29093,40.58483,0.1382216712386303
0.29149,40.74212,0.11895384020703158
0.29156,40.86883,0.11083416260341394
0.29185,40.83596,0.12843308024025585
0.29185,40.78485,0.15857203410437795
0.29199,40.86884,0.12695820611524095
0.29209,40.82885,0.11163092089560134
0.29256,41.88914,30.584024849950673
0.29323,40.88986,0.21274076736723502
0.29358,40.99129,0.11048492612116823
0.29376,40.89113,0.26665268871699005
0.29438,41.07496,0.19215446911274273
0.29461,40.91041,0.21877555279326802
0.29471,40.88079,0.1670131494823087
0.29498,43.93669,248.03660107155576
0.29571,41.04146,0.1450332117137313
0.29584,42.4282,223.86330749991725
0.29648,40.82165,0.13229062854185855
0.29686,40.89235,0.20178057983859596
0.2977,40.71277,0.1395314530849586
0.29874,40.92345,0.19821739101299868
0.29887,41.0903,0.1846777704543782
0.29911,40.90452,0.2334966400186521
0.30179,41.80664,47.0430635341928
0.30244,41.1294,0.12046465249192395
0.30246,40.40637,4.066856843017712
0.30251,40.93181,0.18151069417530197
0.30259,42.00282,15.54158942003359
0.30307,41.04589,0.2321884900248072
0.30317,41.38656,129.99182823908586
0.30477,40.93882,0.11807636342638607
0.30477,41.1145,0.19339231861684686
0.30511,40.37324,169.27256447519898
0.30517,40.87119,0.14125279076889066
0.30546,40.93135,0.1339493281058177
0.30694,40.93472,0.09662639390973875
0.30697,41.00668,0.11611336055768948
0.30743,41.34191,0.16188913150671974
0.3088,41.09949,0.11546331062289873
0.30893,40.93935,0.1879136666131551
0.30994,41.14081,0.14511309382684942
0.31016,41.7196,25.59257618288749
0.31042,40.68442,0.3083363956784862
0.31048,41.08142,0.1650558135904337
0.31075,40.85079,0.13658054619893711
0.31079,41.72013,258.7145026546137
0.31184,41.13838,0.16182045606164877
0.31193,41.03378,0.13160853163834021
0.31194,41.03821,0.133174132623419
0.31251,41.06449,0.11650695086560285
0.31257,41.05905,0.35732049213556166
0.31268,40.87877,0.12400635507908456
0.3127,42.23841,195.06410097485622
0.31286,41.10731,0.1179922967824595
0.31293,41.09265,0.135985853676035
0.31314,40.95914,0.18213380383662997
0.31406,41.01342,0.10845442591245412
0.31562,41.11746,0.11300708119405616
0.31564,41.12722,0.24370215612505358
0.31615,41.10099,0.11962680510654791
0.31722,41.10583,0.176038297253751
0.31752,41.325,0.20811426572919023
0.31794,41.1955,0.12483861742265492
0.31863,41.14129,0.13038098059149578
0.31915,41.11731,0.1481602716655177
0.3192,41.09362,0.2633310661505779
0.32008,41.245,0.15042825532458987
0.3204,41.26326,0.15601195595210002
0.32059,41.06264,0.14104193738034088
0.32078,41.19991,0.14058285813000104
0.32154,41.20996,0.15082595300544266
0.32214,40.97363,0.10974437388768502
0.3225,41.21681,0.10802702254528725
0.32274,41.12372,0.14194648146396582
0.32394,41.20068,0.13212797924739483
0.32472,41.23036,0.15022004160563932
0.3251,41.15482,0.1437326212103571
0.3255,41.0611,0.2998691396259375
0.32572,41.14461,0.10693560866240955
0.32622,41.15016,0.11644151149826251
0.3267,41.19884,0.16602871468514116
0.32707,40.96772,0.1579240956915695
0.3271,41.23238,0.0846014751644438
0.32858,41.15561,0.10655419700790766
0.32869,41.61532,0.2411980101493377
0.32869,41.13399,0.1215428422409152
0.32874,41.12827,0.1781795726226775
0.32909,41.09302,0.14231742128074132
0.3293,42.20032,200.95510700305775
0.32959,41.25571,0.0999583018063032
0.32988,41.10156,0.22528583266597121
0.33,41.36497,0.2262817173348302
0.33041,41.00674,0.21055400732353682
0.33047,41.20651,0.196117934162075
0.33054,41.32269,0.1379769723540852
0.3307,41.23123,0.14030809848330209
0.33121,41.34494,0.12866363161359934
0.33169,42.5494,191.48331778171277
0.33186,41.23828,0.12103840754074718
0.33191,41.09795,0.4555502901985685
0.33239,41.05229,0.13203854778056295
0.33257,41.07062,0.12683157690417635
0.33336,41.22274,0.12131188111640177
0.33352,41.0983,0.11446952651251774
0.33352,41.1466,0.15069937757004837
0.33386,41.51629,0.20680406282275984
0.33389,41.09655,0.26145905989274876
0.33403,41.33285,0.22799450103017835
0.33403,41.52916,0.16294265739823932
0.33423,41.22336,0.12466777290061774
0.3347,41.27318,0.12986508383703452
0.33472,41.17467,0.21576783819652084
0.33479,41.35422,0.33868244772943285
0.33485,41.43045,0.22793009981132376
0.33513,41.11304,0.13139720088342824
0.3352,42.21636,15.658453820489429
0.33549,41.20914,0.1692484448968439
0.33584,41.31977,0.25852870943088696
0.33633,41.13656,0.313371402013649
0.33662,41.10509,0.16126032649104988
0.33681,41.40221,0.31868396194349036
0.33683,41.21969,0.11830778038658321
0.3372,41.11461,0.1060010679191488
0.33743,41.10457,0.1929598582607274
0.33753,41.21254,0.09130318997713059
0.33754,41.43363,0.24548326806525939
0.33759,41.39351,0.12475802018307279
0.33778,40.99379,0.15668604149700127
